ts-auth-service&qps,ts-basic-service&qps,ts-config-service&qps,ts-contacts-service&qps,ts-inside-payment-service&qps,ts-order-other-service&qps,ts-order-service&qps,ts-preserve-service&qps,ts-price-service&qps,ts-route-service&qps,ts-seat-service&qps,ts-security-service&qps,ts-station-service&qps,ts-ticketinfo-service&qps,ts-train-service&qps,ts-travel-service&qps,slo_reward
0.0,193.36666666666667,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.700000000000001,24.233333333333334,209.86666666666665,60.02059444444444,5.033333333333333,382.03333333333336,220.4745567257699,176.43333333333337,130.8,0.0
0.0,193.36666666666667,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.700000000000001,24.233333333333334,209.86666666666665,60.02059444444444,5.033333333333333,382.03333333333336,220.4745567257699,176.43333333333337,130.8,1.0
0.0,193.36666666666667,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.700000000000001,24.233333333333334,209.86666666666665,60.02059444444444,5.033333333333333,382.03333333333336,220.4745567257699,176.43333333333337,130.8,1.0
0.0,193.36666666666667,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.700000000000001,24.233333333333334,209.86666666666665,60.02059444444444,5.033333333333333,382.03333333333336,220.4745567257699,176.43333333333337,130.8,1.0
0.0,193.36666666666667,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.700000000000001,24.233333333333334,209.86666666666665,60.02059444444444,5.033333333333333,382.03333333333336,220.4745567257699,176.43333333333337,130.8,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,4.8,102.46666666666668,6.7,24.233333333333334,209.86666666666665,63.04837222222222,8.533333333333333,382.03333333333336,247.22910945207303,176.43333333333337,154.56666666666666,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,0.0
0.0,295.637102956371,89.29107089291071,4.033333333333333,2.433333333333333,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.74281666666667,8.533333333333333,382.0333333333333,254.75032884504287,176.43333333333337,217.3,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,0.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,0.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,0.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,102.46666666666668,6.7,52.16666666666667,209.86666666666665,88.80000000000001,8.533333333333333,382.0333333333333,262.2715482380127,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,169.96666666666667,6.7,52.16666666666667,335.2333333333334,88.8,8.533333333333333,382.0333333333333,266.0868639736924,176.43333333333334,243.26666666666665,0.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,169.96666666666667,6.7,52.16666666666667,335.2333333333334,88.8,8.533333333333333,382.0333333333333,266.0868639736924,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,169.96666666666667,6.7,52.16666666666667,335.2333333333334,88.8,8.533333333333333,382.0333333333333,266.0868639736924,176.43333333333334,243.26666666666665,1.0
0.0,295.637102956371,89.29107089291071,10.0,5.0,8.9,169.96666666666667,6.7,52.16666666666667,335.2333333333334,88.8,8.533333333333333,382.0333333333333,266.0868639736924,176.43333333333334,243.26666666666665,1.0
